name,dashboard,domain,capability,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
SC.1.176,SC_1_176_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Implement subnetworks for publicly accessible system compnents that are physically or logically separated from internal networks.,,1,None,,TRUE
SC.3.192,SC_3_192_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Implement Domain Name System (DNS) filtering services.,,3,None,,TRUE
SC.3.193,SC_3_193_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,"Implement a policy restricting the publication of CUI on externally owned publically accessible websites (e.g., forums, Linkedin, Facebook, Twitter)",,3,None,,TRUE
SC.4.199,SC_4_199_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Utilize threat intelligence to proactively block DNS requests from reaching malicious domains.,,4,None,,TRUE
SC.4.202,SC_4_202_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Employ mechanisms to sandbox and/or analyze executable code and scripts traversing Internet network boundaries aor other organizational-defined boundaries.,,4,None,,TRUE
SC.4.229,SC_4_229_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Utilize a URL categorization service and implement techniques to enforce URL filtering of websites that are not approved by the organization.,,4,None,,TRUE
SC.5.208,SC_5_208_cmmc,System and Communications Protection,c039,Control communications at system boundaries,fas fa-satellite-dish,Employ organizationally defined and tailored boundary protections in addition to commercially available solutions.,,5,None,,TRUE
SI.1.210,SI_1_210_cmmc,System and Informational Integrity,c040,Identify and manage information system flaws,fas fa-certificate,"Identify, report, and correct information and information system flaws in a timely manner.",,1,None,,TRUE
SI.2.214,SI_2_214_cmmc,System and Informational Integrity,c040,Identify and manage information system flaws,fas fa-certificate,Monitor system security alerts and advisories and take action in response.,,2,Enterprise Security,,TRUE
SI.4.221,SI_4_221_cmmc,System and Informational Integrity,c040,Identify and manage information system flaws,fas fa-certificate,Use threat indicator information relevant to the information and systems being protected and effective mitigations obtained from external organizations to inform intrusion detection and threat hunting.,,4,Enterprise Security,,TRUE
SI.1.211,SI_1_211_cmmc,System and Informational Integrity,c041,Identify malicious content,fas fa-certificate,Provide protection from malicious code at appropriate locaitons within organizational information systems.,,1,None,,TRUE
SI.1.212,SI_1_212_cmmc,System and Informational Integrity,c041,Identify malicious content,fas fa-certificate,Update malicious code protection mechanisms when new releases are available.,,1,None,,TRUE
SI.1.213,SI_1_213_cmmc,System and Informational Integrity,c041,Identify malicious content,fas fa-certificate,"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.",,1,None,,TRUE
SI.5.222,SI_5_222_cmmc,System and Informational Integrity,c041,Identify malicious content,fas fa-certificate,Analyze system behavior to detect and mitigate execution of normal system commands and scripts that indicate malicious actions.,,5,UBA,,TRUE
SI.2.216,SI_2_216_cmmc,System and Informational Integrity,c042,Perform network and system monitoring,fas fa-certificate,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",,2,None,,TRUE
SI.2.217,SI_2_217_cmmc,System and Informational Integrity,c042,Perform network and system monitoring,fas fa-certificate,Identify unauthorized use of organizational systems.,,2,None,,TRUE
SI.3.218,SI_3_218_cmmc,System and Informational Integrity,c042,Perform network and system monitoring,fas fa-certificate,Employ spam protection mechanisms at information system access entry and exit points.,,3,None,,TRUE
SI.5.223,SI_5_223_cmmc,System and Informational Integrity,c042,Perform network and system monitoring,fas fa-certificate,Monitor individuals and system components on an ongiong basis for anomalous or suspicious behavior.,,5,UBA,,TRUE
SI.3.219,SI_3_219_cmmc,System and Informational Integrity,c043,Implement advanced email protections,fas fa-certificate,Implement email forgery protections,,3,None,,TRUE
SI.3.220,SI_3_220_cmmc,System and Informational Integrity,c043,Implement advanced email protections,fas fa-certificate,Utilize sandboxing to detect or block potentially malicious email.,,3,Phantom,../splunk_app_phantom/phantom_cases_performance?,TRUE
